0 0 3 0
1 0.01 2.99985 -0.0299121
2 0.02 2.9994 -0.0596472
3 0.03 2.99866 -0.089203
4 0.04 2.99762 -0.118578
5 0.05 2.99629 -0.147769
6 0.06 2.99466 -0.176775
7 0.07 2.99275 -0.205594
8 0.08 2.99055 -0.234224
9 0.09 2.98807 -0.262662
10 0.1 2.9853 -0.290908
11 0.11 2.98225 -0.318959
12 0.12 2.97892 -0.346813
13 0.13 2.97532 -0.374469
14 0.14 2.97143 -0.401924
15 0.15 2.96728 -0.429178
16 0.16 2.96285 -0.456228
17 0.17 2.95815 -0.483073
18 0.18 2.95319 -0.509711
19 0.19 2.94796 -0.536141
20 0.2 2.94247 -0.56236
21 0.21 2.93671 -0.588367
22 0.22 2.9307 -0.614162
23 0.23 2.92443 -0.639742
24 0.24 2.91791 -0.665105
25 0.25 2.91113 -0.690251
26 0.26 2.9041 -0.715178
27 0.27 2.89683 -0.739885
28 0.28 2.88931 -0.764369
29 0.29 2.88154 -0.788631
30 0.3 2.87353 -0.812669
31 0.31 2.86529 -0.83648
32 0.32 2.8568 -0.860065
33 0.33 2.84809 -0.883422
34 0.34 2.83914 -0.90655
35 0.35 2.82996 -0.929447
36 0.36 2.82055 -0.952113
37 0.37 2.81092 -0.974546
38 0.38 2.80106 -0.996746
39 0.39 2.79098 -1.01871
40 0.4 2.78069 -1.04044
41 0.41 2.77017 -1.06193
42 0.42 2.75945 -1.08319
43 0.43 2.74851 -1.10421
44 0.44 2.73736 -1.12498
45 0.45 2.72601 -1.14552
46 0.46 2.71445 -1.16582
47 0.47 2.7027 -1.18587
48 0.48 2.69074 -1.20568
49 0.49 2.67858 -1.22525
50 0.5 2.66623 -1.24458
51 0.51 2.65369 -1.26366
52 0.52 2.64096 -1.28249
53 0.53 2.62804 -1.30108
54 0.54 2.61494 -1.31942
55 0.55 2.60166 -1.33752
56 0.56 2.58819 -1.35536
57 0.57 2.57455 -1.37296
58 0.58 2.56073 -1.39031
59 0.59 2.54674 -1.40742
60 0.6 2.53258 -1.42427
61 0.61 2.51826 -1.44087
62 0.62 2.50377 -1.45722
63 0.63 2.48912 -1.47332
64 0.64 2.4743 -1.48917
65 0.65 2.45933 -1.50477
66 0.66 2.44421 -1.52012
67 0.67 2.42893 -1.53521
68 0.68 2.4135 -1.55006
69 0.69 2.39793 -1.56465
70 0.7 2.38221 -1.57899
71 0.71 2.36635 -1.59307
72 0.72 2.35035 -1.60691
73 0.73 2.33421 -1.62049
74 0.74 2.31794 -1.63382
75 0.75 2.30154 -1.64689
76 0.76 2.28501 -1.65972
77 0.77 2.26835 -1.67229
78 0.78 2.25156 -1.6846
79 0.79 2.23465 -1.69667
80 0.8 2.21763 -1.70848
81 0.81 2.20049 -1.72004
82 0.82 2.18323 -1.73135
83 0.83 2.16586 -1.74241
84 0.84 2.14838 -1.75321
85 0.85 2.1308 -1.76377
86 0.86 2.11311 -1.77407
87 0.87 2.09532 -1.78412
88 0.88 2.07743 -1.79392
89 0.89 2.05944 -1.80347
90 0.9 2.04136 -1.81277
91 0.91 2.02318 -1.82182
92 0.92 2.00492 -1.83062
93 0.93 1.98657 -1.83917
94 0.94 1.96814 -1.84748
95 0.95 1.94962 -1.85553
96 0.96 1.93103 -1.86334
97 0.97 1.91236 -1.8709
98 0.98 1.89361 -1.87822
99 0.99 1.87479 -1.88528
100 1 1.85591 -1.89211
101 1.01 1.83695 -1.89869
102 1.02 1.81793 -1.90502
103 1.03 1.79885 -1.91111
104 1.04 1.77971 -1.91696
105 1.05 1.76051 -1.92257
106 1.06 1.74126 -1.92794
107 1.07 1.72196 -1.93306
108 1.08 1.7026 -1.93795
109 1.09 1.6832 -1.94259
110 1.1 1.66375 -1.947
111 1.11 1.64426 -1.95117
112 1.12 1.62473 -1.95511
113 1.13 1.60516 -1.9588
114 1.14 1.58555 -1.96227
115 1.15 1.56591 -1.9655
116 1.16 1.54624 -1.96849
117 1.17 1.52654 -1.97126
118 1.18 1.50682 -1.97379
119 1.19 1.48707 -1.97609
120 1.2 1.4673 -1.97816
121 1.21 1.44751 -1.98001
122 1.22 1.4277 -1.98163
123 1.23 1.40788 -1.98302
124 1.24 1.38804 -1.98418
125 1.25 1.36819 -1.98513
126 1.26 1.34834 -1.98585
127 1.27 1.32848 -1.98634
128 1.28 1.30861 -1.98662
129 1.29 1.28874 -1.98668
130 1.3 1.26888 -1.98652
131 1.31 1.24901 -1.98614
132 1.32 1.22916 -1.98555
133 1.33 1.2093 -1.98474
134 1.34 1.18946 -1.98371
135 1.35 1.16963 -1.98248
136 1.36 1.14981 -1.98103
137 1.37 1.13001 -1.97938
138 1.38 1.11023 -1.97751
139 1.39 1.09046 -1.97544
140 1.4 1.07072 -1.97317
141 1.41 1.051 -1.97068
142 1.42 1.03131 -1.968
143 1.43 1.01164 -1.96511
144 1.44 0.992003 -1.96202
145 1.45 0.9724 -1.95874
146 1.46 0.952829 -1.95525
147 1.47 0.933295 -1.95157
148 1.48 0.913799 -1.9477
149 1.49 0.894342 -1.94363
150 1.5 0.874927 -1.93937
151 1.51 0.855555 -1.93492
152 1.52 0.836229 -1.93028
153 1.53 0.81695 -1.92545
154 1.54 0.79772 -1.92044
155 1.55 0.778542 -1.91524
156 1.56 0.759416 -1.90986
157 1.57 0.740345 -1.9043
158 1.58 0.721331 -1.89856
159 1.59 0.702375 -1.89264
160 1.6 0.683479 -1.88654
161 1.61 0.664644 -1.88027
162 1.62 0.645874 -1.87382
163 1.63 0.627169 -1.86721
164 1.64 0.60853 -1.86042
